Location,Sales,Order Value,Year,Product Category,Zone,Product Returned Most,Status,Products,Subcategory,Reason for Return,Reasons
Los Angeles,$477.67 ,780,2015,Clothing,East,Dress,Returned,Dress,Apparel,Size Mismatch,88
Los Angeles,$88.07 ,690,2016,Books,West,Novel,Delivered,Novel,Literature,Wrong Item,45
Los Angeles,"$3,219.90 ",600,2017,Health and Beauty,Central,Moisturizer,Returned,Moisturizer,Skincare,Allergic Reaction,62
Los Angeles,"$2,487.81 ",950,2018,Electronics,North,Laptop,Returned,Laptop,Computers,Defective,59
Los Angeles,"$2,266.44 ",870,2019,Home Goods,South,Sofa,Delivered,Sofa,Furniture,Wrong Color,27
Los Angeles,"$3,068.36 ",780,2020,Clothing,East,Dress,Returned,Dress,Apparel,Size Mismatch,88
Los Angeles,"$3,728.43 ",690,2010,Books,West,Novel,Delivered,Novel,Literature,Wrong Item,45
Los Angeles,"$1,581.48 ",600,2011,Health and Beauty,Central,Moisturizer,Returned,Moisturizer,Skincare,Allergic Reaction,62
Los Angeles,"$1,916.73 ",950,2012,Electronics,North,Laptop,Returned,Laptop,Computers,Defective,59
Los Angeles,$171.29 ,870,2013,Home Goods,South,Sofa,Delivered,Sofa,Furniture,Wrong Color,27
Los Angeles,"$2,432.16 ",780,2014,Clothing,East,Dress,Returned,Dress,Apparel,Size Mismatch,88
Los Angeles,$28.85 ,690,2015,Books,West,Novel,Delivered,Novel,Literature,Wrong Item,45
Los Angeles,"$2,465.82 ",600,2016,Health and Beauty,Central,Moisturizer,Returned,Moisturizer,Skincare,Allergic Reaction,62
Los Angeles,"$1,847.52 ",950,2017,Electronics,North,Laptop,Returned,Laptop,Computers,Defective,59
Los Angeles,"$2,899.89 ",870,2018,Home Goods,South,Sofa,Delivered,Sofa,Furniture,Wrong Color,27
Los Angeles,"$2,891.70 ",780,2019,Clothing,East,Dress,Returned,Dress,Apparel,Size Mismatch,88
Los Angeles,"$2,016.85 ",690,2020,Books,West,Novel,Delivered,Novel,Literature,Wrong Item,45
Los Angeles,"$3,155.54 ",600,2010,Health and Beauty,Central,Moisturizer,Returned,Moisturizer,Skincare,Allergic Reaction,62
Chicago,"$3,856.14 ",950,2011,Electronics,North,Laptop,Returned,Laptop,Computers,Defective,59
Chicago,"$3,524.47 ",870,2012,Home Goods,South,Sofa,Delivered,Sofa,Furniture,Wrong Color,27
Chicago,"$2,167.30 ",780,2013,Clothing,East,Dress,Returned,Dress,Apparel,Size Mismatch,88
Chicago,"$2,556.00 ",690,2014,Books,West,Novel,Delivered,Novel,Literature,Wrong Item,45
Chicago,"$1,469.25 ",600,2015,Health and Beauty,Central,Moisturizer,Returned,Moisturizer,Skincare,Allergic Reaction,62
Chicago,"$4,448.83 ",950,2016,Electronics,North,Laptop,Returned,Laptop,Computers,Defective,59
Chicago,$65.78 ,870,2017,Home Goods,South,Sofa,Delivered,Sofa,Furniture,Wrong Color,27
Chicago,"$2,472.66 ",780,2018,Clothing,East,Dress,Returned,Dress,Apparel,Size Mismatch,88
Chicago,"$3,739.18 ",690,2019,Books,West,Novel,Delivered,Novel,Literature,Wrong Item,45
Chicago,"$2,570.87 ",600,2020,Health and Beauty,Central,Moisturizer,Returned,Moisturizer,Skincare,Allergic Reaction,62
Chicago,$31.40 ,950,2010,Electronics,North,Laptop,Returned,Laptop,Computers,Defective,59
Chicago,"$2,875.77 ",870,2011,Home Goods,South,Sofa,Delivered,Sofa,Furniture,Wrong Color,27
Chicago,"$1,741.80 ",780,2012,Clothing,East,Dress,Returned,Dress,Apparel,Size Mismatch,88
Chicago,"$1,601.64 ",690,2013,Books,West,Novel,Delivered,Novel,Literature,Wrong Item,45
Chicago,"$3,670.80 ",600,2014,Health and Beauty,Central,Moisturizer,Returned,Moisturizer,Skincare,Allergic Reaction,62
Chicago,$36.29 ,950,2015,Electronics,North,Laptop,Returned,Laptop,Computers,Defective,59
Chicago,"$1,900.95 ",870,2016,Home Goods,South,Sofa,Delivered,Sofa,Furniture,Wrong Color,27
Chicago,$15.66 ,780,2017,Clothing,East,Dress,Returned,Dress,Apparel,Size Mismatch,88
Chicago,"$4,544.10 ",690,2018,Books,West,Novel,Delivered,Novel,Literature,Wrong Item,45
Chicago,"$1,455.12 ",600,2019,Health and Beauty,Central,Moisturizer,Returned,Moisturizer,Skincare,Allergic Reaction,62
Chicago,"$1,943.19 ",950,2020,Electronics,North,Laptop,Returned,Laptop,Computers,Defective,59
Chicago,"$2,036.86 ",870,2010,Home Goods,South,Sofa,Delivered,Sofa,Furniture,Wrong Color,27
Chicago,"$4,355.17 ",780,2011,Clothing,East,Dress,Returned,Dress,Apparel,Size Mismatch,88
Chicago,"$1,695.87 ",690,2012,Books,West,Novel,Delivered,Novel,Literature,Wrong Item,45
Chicago,"$1,505.98 ",600,2013,Health and Beauty,Central,Moisturizer,Returned,Moisturizer,Skincare,Allergic Reaction,62
Chicago,"$1,954.17 ",950,2014,Electronics,North,Laptop,Returned,Laptop,Computers,Defective,59
Chicago,$449.57 ,870,2015,Home Goods,South,Sofa,Delivered,Sofa,Furniture,Wrong Color,27
Chicago,$160.32 ,780,2016,Clothing,East,Dress,Returned,Dress,Apparel,Size Mismatch,88
Chicago,$108.96 ,690,2017,Books,West,Novel,Delivered,Novel,Literature,Wrong Item,45
Chicago,"$1,213.19 ",600,2018,Health and Beauty,Central,Moisturizer,Returned,Moisturizer,Skincare,Allergic Reaction,62
Chicago,"$1,590.60 ",950,2019,Electronics,North,Laptop,Returned,Laptop,Computers,Defective,59
Chicago,"$2,330.64 ",870,2020,Home Goods,South,Sofa,Delivered,Sofa,Furniture,Wrong Color,27
Chicago,"$3,278.58 ",780,2010,Clothing,East,Dress,Returned,Dress,Apparel,Size Mismatch,88
Chicago,"$3,741.52 ",690,2011,Books,West,Novel,Delivered,Novel,Literature,Wrong Item,45
Chicago,$67.80 ,600,2012,Health and Beauty,Central,Moisturizer,Returned,Moisturizer,Skincare,Allergic Reaction,62
Chicago,"$3,637.60 ",950,2013,Electronics,North,Laptop,Returned,Laptop,Computers,Defective,59
Chicago,"$2,455.88 ",870,2014,Home Goods,South,Sofa,Delivered,Sofa,Furniture,Wrong Color,27
Chicago,"$1,024.68 ",780,2015,Clothing,East,Dress,Returned,Dress,Apparel,Size Mismatch,88
Chicago,$167.94 ,690,2016,Books,West,Novel,Delivered,Novel,Literature,Wrong Item,45
Chicago,$24.56 ,600,2017,Health and Beauty,Central,Moisturizer,Returned,Moisturizer,Skincare,Allergic Reaction,62
Chicago,"$2,297.96 ",950,2018,Electronics,North,Laptop,Returned,Laptop,Computers,Defective,59
Chicago,"$2,671.41 ",870,2019,Home Goods,South,Sofa,Delivered,Sofa,Furniture,Wrong Color,27
Chicago,"$3,834.00 ",780,2020,Clothing,East,Dress,Returned,Dress,Apparel,Size Mismatch,88
Chicago,$49.12 ,690,2010,Books,West,Novel,Delivered,Novel,Literature,Wrong Item,45
Chicago,"$3,501.74 ",600,2011,Health and Beauty,Central,Moisturizer,Returned,Moisturizer,Skincare,Allergic Reaction,62
Chicago,"$1,725.46 ",950,2012,Electronics,North,Laptop,Returned,Laptop,Computers,Defective,59
Chicago,"$1,583.70 ",870,2013,Home Goods,South,Sofa,Delivered,Sofa,Furniture,Wrong Color,27
Chicago,$79.99 ,780,2014,Clothing,East,Dress,Returned,Dress,Apparel,Size Mismatch,88
Chicago,"$2,760.35 ",690,2015,Books,West,Novel,Delivered,Novel,Literature,Wrong Item,45
Chicago,"$3,078.72 ",600,2016,Health and Beauty,Central,Moisturizer,Returned,Moisturizer,Skincare,Allergic Reaction,62
Houston,"$1,983.14 ",950,2017,Electronics,North,Laptop,Returned,Laptop,Computers,Defective,59
Houston,"$1,112.78 ",870,2018,Home Goods,South,Sofa,Delivered,Sofa,Furniture,Wrong Color,27
Houston,"$3,616.50 ",780,2019,Clothing,East,Dress,Returned,Dress,Apparel,Size Mismatch,88
Houston,$127.88 ,690,2020,Books,West,Novel,Delivered,Novel,Literature,Wrong Item,45
Houston,"$2,892.11 ",600,2010,Health and Beauty,Central,Moisturizer,Returned,Moisturizer,Skincare,Allergic Reaction,62
Houston,"$3,263.40 ",950,2011,Electronics,North,Laptop,Returned,Laptop,Computers,Defective,59
Houston,$46.00 ,870,2012,Home Goods,South,Sofa,Delivered,Sofa,Furniture,Wrong Color,27
Houston,"$3,117.09 ",780,2013,Clothing,East,Dress,Returned,Dress,Apparel,Size Mismatch,88
Houston,$27.93 ,690,2014,Books,West,Novel,Delivered,Novel,Literature,Wrong Item,45
Houston,"$1,888.70 ",600,2015,Health and Beauty,Central,Moisturizer,Returned,Moisturizer,Skincare,Allergic Reaction,62
Houston,"$3,000.78 ",950,2016,Electronics,North,Laptop,Returned,Laptop,Computers,Defective,59
Houston,"$3,801.63 ",870,2017,Home Goods,South,Sofa,Delivered,Sofa,Furniture,Wrong Color,27
Houston,"$5,211.12 ",780,2018,Clothing,East,Dress,Returned,Dress,Apparel,Size Mismatch,88
Houston,"$1,356.03 ",690,2019,Books,West,Novel,Delivered,Novel,Literature,Wrong Item,45
Houston,"$3,569.64 ",600,2020,Health and Beauty,Central,Moisturizer,Returned,Moisturizer,Skincare,Allergic Reaction,62
Houston,$18.54 ,950,2010,Electronics,North,Laptop,Returned,Laptop,Computers,Defective,59
Houston,"$2,910.08 ",870,2011,Home Goods,South,Sofa,Delivered,Sofa,Furniture,Wrong Color,27
Houston,"$3,126.40 ",780,2012,Clothing,East,Dress,Returned,Dress,Apparel,Size Mismatch,88
Houston,"$5,276.99 ",690,2013,Books,West,Novel,Delivered,Novel,Literature,Wrong Item,45
Houston,"$2,645.38 ",600,2014,Health and Beauty,Central,Moisturizer,Returned,Moisturizer,Skincare,Allergic Reaction,62
Houston,"$1,637.01 ",950,2015,Electronics,North,Laptop,Returned,Laptop,Computers,Defective,59
Houston,$3.05 ,870,2016,Home Goods,South,Sofa,Delivered,Sofa,Furniture,Wrong Color,27
Houston,"$2,645.38 ",780,2017,Clothing,East,Dress,Returned,Dress,Apparel,Size Mismatch,88
Houston,$6.79 ,690,2018,Books,West,Novel,Delivered,Novel,Literature,Wrong Item,45
Houston,"$3,238.31 ",600,2019,Health and Beauty,Central,Moisturizer,Returned,Moisturizer,Skincare,Allergic Reaction,62
Houston,"$2,291.81 ",950,2020,Electronics,North,Laptop,Returned,Laptop,Computers,Defective,59
Houston,"$2,124.50 ",870,2010,Home Goods,South,Sofa,Delivered,Sofa,Furniture,Wrong Color,27
Houston,"$2,757.78 ",780,2011,Clothing,East,Dress,Returned,Dress,Apparel,Size Mismatch,88
Houston,"$1,549.98 ",690,2012,Books,West,Novel,Delivered,Novel,Literature,Wrong Item,45
Houston,$20.74 ,600,2013,Health and Beauty,Central,Moisturizer,Returned,Moisturizer,Skincare,Allergic Reaction,62
Houston,"$3,146.40 ",950,2014,Electronics,North,Laptop,Returned,Laptop,Computers,Defective,59
Houston,"$2,456.62 ",870,2015,Home Goods,South,Sofa,Delivered,Sofa,Furniture,Wrong Color,27
Houston,"$2,228.64 ",780,2016,Clothing,East,Dress,Returned,Dress,Apparel,Size Mismatch,88
Houston,$4.41 ,690,2017,Books,West,Novel,Delivered,Novel,Literature,Wrong Item,45
Houston,"$4,001.04 ",600,2018,Health and Beauty,Central,Moisturizer,Returned,Moisturizer,Skincare,Allergic Reaction,62
Houston,"$4,876.88 ",950,2019,Electronics,North,Laptop,Returned,Laptop,Computers,Defective,59
Houston,"$1,788.82 ",870,2020,Home Goods,South,Sofa,Delivered,Sofa,Furniture,Wrong Color,27
Houston,"$3,622.29 ",780,2010,Clothing,East,Dress,Returned,Dress,Apparel,Size Mismatch,88
Houston,"$1,242.59 ",690,2011,Books,West,Novel,Delivered,Novel,Literature,Wrong Item,45
Houston,"$4,453.05 ",600,2012,Health and Beauty,Central,Moisturizer,Returned,Moisturizer,Skincare,Allergic Reaction,62
Houston,"$2,673.36 ",950,2013,Electronics,North,Laptop,Returned,Laptop,Computers,Defective,59
Houston,"$2,046.20 ",870,2014,Home Goods,South,Sofa,Delivered,Sofa,Furniture,Wrong Color,27
Houston,"$5,451.30 ",780,2015,Clothing,East,Dress,Returned,Dress,Apparel,Size Mismatch,88
Houston,$637.90 ,690,2016,Books,West,Novel,Delivered,Novel,Literature,Wrong Item,45
Houston,"$1,722.28 ",600,2017,Health and Beauty,Central,Moisturizer,Returned,Moisturizer,Skincare,Allergic Reaction,62
Houston,$210.68 ,950,2018,Electronics,North,Laptop,Returned,Laptop,Computers,Defective,59
Houston,"$1,007.42 ",870,2019,Home Goods,South,Sofa,Delivered,Sofa,Furniture,Wrong Color,27
Houston,$240.74 ,780,2020,Clothing,East,Dress,Returned,Dress,Apparel,Size Mismatch,88
Houston,"$4,624.29 ",690,2010,Books,West,Novel,Delivered,Novel,Literature,Wrong Item,45
Houston,"$1,066.45 ",600,2011,Health and Beauty,Central,Moisturizer,Returned,Moisturizer,Skincare,Allergic Reaction,62
Phoenix,$957.60 ,950,2012,Electronics,North,Laptop,Returned,Laptop,Computers,Defective,59
Phoenix,"$4,864.32 ",870,2013,Home Goods,South,Sofa,Delivered,Sofa,Furniture,Wrong Color,27
Phoenix,$841.57 ,780,2014,Clothing,East,Dress,Returned,Dress,Apparel,Size Mismatch,88
Phoenix,"$1,433.84 ",690,2015,Books,West,Novel,Delivered,Novel,Literature,Wrong Item,45
Phoenix,"$2,784.60 ",600,2016,Health and Beauty,Central,Moisturizer,Returned,Moisturizer,Skincare,Allergic Reaction,62
Phoenix,"$3,063.27 ",950,2017,Electronics,North,Laptop,Returned,Laptop,Computers,Defective,59
Phoenix,$231.72 ,870,2018,Home Goods,South,Sofa,Delivered,Sofa,Furniture,Wrong Color,27
Phoenix,$196.45 ,780,2019,Clothing,East,Dress,Returned,Dress,Apparel,Size Mismatch,88
Phoenix,"$2,044.80 ",690,2020,Books,West,Novel,Delivered,Novel,Literature,Wrong Item,45
Phoenix,$165.60 ,600,2010,Health and Beauty,Central,Moisturizer,Returned,Moisturizer,Skincare,Allergic Reaction,62
Phoenix,"$1,521.00 ",950,2011,Electronics,North,Laptop,Returned,Laptop,Computers,Defective,59
Phoenix,"$2,443.91 ",870,2012,Home Goods,South,Sofa,Delivered,Sofa,Furniture,Wrong Color,27
Phoenix,$137.31 ,780,2013,Clothing,East,Dress,Returned,Dress,Apparel,Size Mismatch,88
Phoenix,"$1,141.80 ",690,2014,Books,West,Novel,Delivered,Novel,Literature,Wrong Item,45
Phoenix,"$1,865.97 ",600,2015,Health and Beauty,Central,Moisturizer,Returned,Moisturizer,Skincare,Allergic Reaction,62
Phoenix,"$6,998.64 ",950,2016,Electronics,North,Laptop,Returned,Laptop,Computers,Defective,59
Phoenix,"$1,091.25 ",870,2017,Home Goods,South,Sofa,Delivered,Sofa,Furniture,Wrong Color,27
Phoenix,"$1,094.22 ",780,2018,Clothing,East,Dress,Returned,Dress,Apparel,Size Mismatch,88
Phoenix,"$1,320.62 ",690,2019,Books,West,Novel,Delivered,Novel,Literature,Wrong Item,45
Phoenix,"$2,555.64 ",600,2020,Health and Beauty,Central,Moisturizer,Returned,Moisturizer,Skincare,Allergic Reaction,62
Phoenix,"$3,498.72 ",950,2010,Electronics,North,Laptop,Returned,Laptop,Computers,Defective,59
Phoenix,$35.00 ,870,2011,Home Goods,South,Sofa,Delivered,Sofa,Furniture,Wrong Color,27
Phoenix,"$2,272.86 ",780,2012,Clothing,East,Dress,Returned,Dress,Apparel,Size Mismatch,88
Phoenix,"$5,211.12 ",690,2013,Books,West,Novel,Delivered,Novel,Literature,Wrong Item,45
Phoenix,"$2,582.16 ",600,2014,Health and Beauty,Central,Moisturizer,Returned,Moisturizer,Skincare,Allergic Reaction,62
Phoenix,"$3,194.55 ",950,2015,Electronics,North,Laptop,Returned,Laptop,Computers,Defective,59
Phoenix,"$1,705.00 ",870,2016,Home Goods,South,Sofa,Delivered,Sofa,Furniture,Wrong Color,27
Phoenix,"$1,538.72 ",780,2017,Clothing,East,Dress,Returned,Dress,Apparel,Size Mismatch,88
Phoenix,"$1,381.32 ",690,2018,Books,West,Novel,Delivered,Novel,Literature,Wrong Item,45
Phoenix,"$1,181.55 ",600,2019,Health and Beauty,Central,Moisturizer,Returned,Moisturizer,Skincare,Allergic Reaction,62
Phoenix,"$1,696.25 ",950,2020,Electronics,North,Laptop,Returned,Laptop,Computers,Defective,59
Phoenix,$190.90 ,870,2010,Home Goods,South,Sofa,Delivered,Sofa,Furniture,Wrong Color,27
Phoenix,$314.35 ,780,2011,Clothing,East,Dress,Returned,Dress,Apparel,Size Mismatch,88
Phoenix,"$1,237.56 ",690,2012,Books,West,Novel,Delivered,Novel,Literature,Wrong Item,45
Phoenix,"$1,274.70 ",600,2013,Health and Beauty,Central,Moisturizer,Returned,Moisturizer,Skincare,Allergic Reaction,62
Phoenix,"$3,172.14 ",950,2014,Electronics,North,Laptop,Returned,Laptop,Computers,Defective,59
Phoenix,$43.44 ,870,2015,Home Goods,South,Sofa,Delivered,Sofa,Furniture,Wrong Color,27
Phoenix,"$3,979.29 ",780,2016,Clothing,East,Dress,Returned,Dress,Apparel,Size Mismatch,88
Phoenix,$51.84 ,690,2017,Books,West,Novel,Delivered,Novel,Literature,Wrong Item,45
Phoenix,$17.90 ,600,2018,Health and Beauty,Central,Moisturizer,Returned,Moisturizer,Skincare,Allergic Reaction,62
Phoenix,$12.48 ,950,2019,Electronics,North,Laptop,Returned,Laptop,Computers,Defective,59
Phoenix,"$2,058.00 ",870,2020,Home Goods,South,Sofa,Delivered,Sofa,Furniture,Wrong Color,27
Phoenix,"$2,539.88 ",780,2010,Clothing,East,Dress,Returned,Dress,Apparel,Size Mismatch,88
Phoenix,"$2,898.21 ",690,2011,Books,West,Novel,Delivered,Novel,Literature,Wrong Item,45
Phoenix,"$1,320.01 ",600,2012,Health and Beauty,Central,Moisturizer,Returned,Moisturizer,Skincare,Allergic Reaction,62
Phoenix,"$2,171.16 ",950,2013,Electronics,North,Laptop,Returned,Laptop,Computers,Defective,59
Phoenix,"$4,448.22 ",870,2014,Home Goods,South,Sofa,Delivered,Sofa,Furniture,Wrong Color,27
Phoenix,$12.84 ,780,2015,Clothing,East,Dress,Returned,Dress,Apparel,Size Mismatch,88
Phoenix,"$2,300.62 ",690,2016,Books,West,Novel,Delivered,Novel,Literature,Wrong Item,45
Phoenix,"$2,615.94 ",600,2017,Health and Beauty,Central,Moisturizer,Returned,Moisturizer,Skincare,Allergic Reaction,62
Philadelphia,"$1,066.68 ",950,2018,Electronics,North,Laptop,Returned,Laptop,Computers,Defective,59
Philadelphia,$2.22 ,870,2019,Home Goods,South,Sofa,Delivered,Sofa,Furniture,Wrong Color,27
Philadelphia,"$2,544.60 ",780,2020,Clothing,East,Dress,Returned,Dress,Apparel,Size Mismatch,88
